game,cycle,auc,start_perf,end_perf,retention,savings,plasticity
BreakoutNoFrameskip-v4,0,16.00,1.30,0.70,,,-0.60
PongNoFrameskip-v4,0,-41.00,-20.50,-20.50,,,0.00
