game,cycle,auc,start_perf,end_perf,retention,savings,plasticity
BreakoutNoFrameskip-v4,0,6.00,0.20,0.30,,,0.10
PongNoFrameskip-v4,0,-63.00,-21.00,-21.00,,,0.00
